prisma_model,supabase_table,rls_enabled,policy_count,policy_evidence,verdict
EvidenceAttestation,EvidenceAttestation,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
UserSigningKey,UserSigningKey,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RegulatoryFeed,RegulatoryFeed,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RegulatoryChange,RegulatoryChange,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RiskPrediction,RiskPrediction,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ComplianceTrajectory,ComplianceTrajectory,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SimulationScenario,SimulationScenario,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SimulationResult,SimulationResult,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RedTeamResult,RedTeamResult,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SwarmInsight,SwarmInsight,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
IoTDevice,IoTDevice,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
EdgeComplianceCheck,EdgeComplianceCheck,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
TranscriptionResult,TranscriptionResult,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DeviceTrust,DeviceTrust,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ZeroTrustPolicy,ZeroTrustPolicy,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
NetworkSegment,NetworkSegment,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
KeyUsage,KeyUsage,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
KeyRotationPolicy,KeyRotationPolicy,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
CompliancePolicy,CompliancePolicy,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
